run_ID,segment_name,starttime,endtime,text
1,panam_s01ep01_2310-2349_resized_1280-720,0:11,0:18,"um, the stewardess she met a guy in the restaurant and they had some talk"
1,panam_s01ep01_258-347_resized_1280-720,0:21,0:31,"uh and he said that that uh works for intelligence and they came up with each other in the at the airport, he bought him a magazine, with her with she was on the cover "
1,panam_s01ep02_316-359_resized_1280-720,0:35,0:49,"um, then she did some intelligence information work for him and she and her sister met their mother on the plane"
1,popular_ep-05_2131-2308_part1_resized_1280-720,0:55,1:16,"then, a girl is having a party at home um with some her friends that treat didn't treat her in a friendly way but the girl is pretty nice to her and she is little bit sensitive and jealous um of other's body shape"
1,panam_s01ep01_2310-2349_resized_1280-720,1:22,1:29,"um, two girls were at school talking about her"
1,popular_ep-04_1332-1502_part1_resized_1280-720,1:32,1:44,"um, one of them was worried about if there were anything came out of her nose and they they saw the words on the closet, "
1,popular_ep-04_1332-1502_part2_resized_1280-720,1:48,1:49,"and they came out with a boy, uhh"
1,popular_ep-04_1332-1502_part2_resized_1280-720,1:53,1:57,then one of the girls laughed the other one have some coversations with the guy
1,adopt-a-pet_resized_1280-720,2:00,2:16,um commercials about there were commercials about adopt a dog and a fat guy asking people to buy things and he's like here if they don't have money
1,cie-perfume_resized_1280-720,2:19,2:22,and a commercial for women here
1,village-inn-family-buffet_resized_1280-720,2:30,2:45,uh and a commercial for relishing family buffet with a little girl talking about her memories
1,rug-it-riders_resized_1280-720,2:52,2:56,and there's a commercial with two guys on a fishboat
1,rug-it-riders_resized_1280-720,3:15,3:16,that's it
2,the-tribe_episode-1_1202-1332_part-1_resized_1280-720,0:10,0:23,um the girl and the boy at the tribe found that people have a good place to live and they were a little bit surprised and frustrated
2,the-tribe_episode-1_1202-1332_part-2_resized_1280-720,0:25,0:42,and three guys at the tribes two guys and a girl in the tribes were in a car the girl has was crying very emotional and they my guess is their partner was comforting him um
2,the-tribe_episode-1_1202-1332_part-2_resized_1280-720,0:47,1:01,"and then the guy sitting in the front, the their vibe didn't match so they left the car"
2,filmore_ep-7_236-406_part1_resized_1280-720,1:04,1:17,"and then, a girl and a friend were playing was playing with a girl and show something of her family um"
2,filmore_ep-7_236-406_part2_resized_1280-720,1:20,1:23,and for the cartoon um
2,filmore_ep-7_236-406_part2_resized_1280-720,1:30,1:52,a girl and a guy they were asked to find the dwoppy for the school and the teacher told them have 24 hours they went to a teacher's home to see if she got that
2,filmore_ep-14_828-958_part1_resized_1280-720,1:54,2:12,um then she they also went to a guy and a girl's place letting the girl know her boyfriend is gambling and he lost most of her clothes 
2,filmore_ep-14_828-958_part2_resized_1280-720,2:15,2:22,um and then a girl made an announcement in the public 
2,sushi-bar,2:24,2:36,"um for the commercials uh there is a um, there is a, for the commercial with a guy selling deli um"
2,big-al-pizza_resized_1280-720,2:45,2:58,and a group of little men selling pizza sauce and 
2,arrowhead-clinic_resized_1280-720,3:08,3:19,and a group of older guys singing rap to sell the cars its a car service 
2,arrowhead-clinic_resized_1280-720,3:20,3:28,and two guys two black guys singing rap for a clinic
2,bowling_resized_1280-720,3:38,3:41,and there's 97 cent bowling
2,bowling_resized_1280-720,3:56,3:57,um that's it
