run_ID,segment_name,starttime,endtime,text,,,
1,corner-gas_s1-ep1_636-805_part1_resized_1280-720,0:34,1:03,um how much time do I have okay alright I remember starting with the show about the the uh small town where people were really hating on a legal office and throwing and throwing a lot of food stuff at it um there was a phone call left at the office um,,,
1,crazy-gideon_resized_1280-720,1:04,1:19,and I thought the commercial that came after which was about used electronics or electronics that were cheap was a good placement because the guy who was talking seemed very angry um ,,,
1,corner-gas_s1-ep1_636-805_part2_resized_1280-720,1:21,1:39,I think I saw two or three shows but there were a lot of repetitions of um the show with the gas station so there was a guy trying to put up pictures of uh or posters of films and his dad didn't like it um ,,,
1,the-riches_s1-ep1_2529-2659_part2_resized_1280-720,1:44,2:21,I don't remember the commercial that came after that uh then there was a scene of uh the show riches where everyone was in an rv and just waking up late in the morning and it looked like an introductory short where we saw all the characters in the rv and the dad was just filling up his um vehicle with gas and I think like some guy who knew him before from before stopped by in his own rv and mocked him or something ,,,
1,jp-audio-mart_resized_1280-720,2:23,2:39,um and then I think the commercial after that was about used cars and um it felt it felt like appropriate because we've been seeing a lot of vehicles from the previous clip um,,,
1,the-riches_s1-ep1_2529-2659_part1_resized_1280-720,2:43,3:13,in from the same show there was a clip of a very battered man who was still alive but the dad had been around or the cause of the accident and chose to grab like um a lot of pills from the back of the car instead of trying to help him and the man was holding some kind of object in his hand and I didn't know what that was but it looked important um,,,
1,horrible-insurance_resized_1280-720,3:14,3:29,I think after that there was maybe a commercial of uh people talking to each other over the cell phone so I didn't know if it was a cell phone ad or some kind of service are are you saying something ,,,
1,horrible-insurance_resized_1280-720,3:33,4:00,okay um it might have been earlier it might have been after the second clip but it was actually a bunch of insurance agents and um they were trying to show that insurance can be good I don't know and uh I thought it was well placed for the riches show where it's about conning people so I thought that was a good placement um,participant remembered the same clip but thought it was two separate clips,,
1,the-riches_s2-ep1_3244-3415_part2_resized_1280-720,4:02,4:36,"there was a clip of um a kid or maybe a teenager who had passed out and needed a doc a doctor's attention and he said that her condition was presumably because of a lot of drinking, and the mom was in denial about it um and embarrassed to admit to the doctor that she didn't know what was going on with the child and she looked angry at maybe her sister her mom or something who she perhaps thought was responsible ",,,
1,local-commercial-fail_resized_1280-720,4:37,5:00,"um, there was also a commercial with two girls in a car where they hear like a loud noise and it turns out to be a man dressed in an eagle suit who lays an egg when the chick comes out with either lottery or insurance card I didn't really know what it was um ",,,
